title,description,genre,published_date,authors
the thirteen,this series of three novellas is unified by an overarching motif in all three tales a mysterious secret society known as the thirteen is at work behind the scenes the men in the group have pledged eternal loyalty to each other and if any member ever finds himself in peril it is the sworn duty of the others to come to his aid honore de balzac uses this premise as a device to explore a wide range of topics including clashes between different classes of society doomed romances and intrigue driven by greed,romance,2014,honore de balzac
northern lights,lunacy alaska  population 506  is nate burkes last chance as a baltimore cop he had watched his partner die  and the guilt still haunts him maybe serving as chief of police in this tiny remote town where darkness falls by midafternoon and temperatures fall to below zero will bring some kind of solace it isnt as if he has anywhere else to go aside from sorting out a runin between a couple of motor vehicles and a moose and pulling apart two brothers fighting overjohn waynes best movie nates first weeks on the job are relatively quiet but as he wonders whether this was all a big mistake an unexpected kiss from feisty bush pilot meg galloway under the brilliant northern lights of the alaska sky lifts his spirit  and convinces him to stay just a little longer born and raised in lunacy meg has learned to be independent but theres something about nates sad eyes that gets under her skin and warms her frozen heart however when two climbers find a corpse on the mountain nate discovers that lunacy isnt quite the sleepy little backwater he imagined,romance,2004,nora roberts
it happened one summer,tessa bailey is back with a schitts creekinspired romcom about a hollywood it girl whos cut off from her wealthy family and exiled to a small pacific northwest beach town where she butts heads with a surly sexy local who thinks she doesnt belong piper bellinger is fashionable influential and her reputation as a wild child means the paparazzi are constantly on her heels when too much champagne and an outofcontrol rooftop party lands piper in the slammer her stepfather decides enough is enough so he cuts her off and sends piper and her sister to learn some responsibility running their late fathers dive bar in washington piper hasnt even been in westport for five minutes when she meets big bearded sea captain brendan who thinks she wont last a week outside of beverly hills so what if piper cant do math and the idea of sleeping in a shabby apartment with bunk beds gives her hives how bad could it really be shes determined to show her stepfatherand the hot grumpy localthat shes more than a pretty face except its a small town and everywhere she turns she bumps into brendan the funloving socialite and the gruff fisherman are polar opposites but theres an undeniable attraction simmering between them piper doesnt want any distractions especially feelings for a man who sails off into the sunset for weeks at a time yet as she reconnects with her past and begins to feel at home in westport piper starts to wonder if the cold glamorous life she knew is what she truly wants la is calling her name but brendanand this town full of memoriesmay have already caught her heart,romance,2021,tessa bailey
chaser,given his wellearned bad boy reputation eric is having a tough time scoring when single jean moves to town she seems heaven sent by the sex gods only problem is she not only wants nothing to do with him but it turns out that shes pregnant starting over in a small town jean is determined to turn her wild lifestyle around and be the kind of mother she always wished shed had since local bar owner and all round hottie eric collins is now determined to steer clear of her pregnant self it should be easy when she goes into labour during a snow storm and her car slides on some ice its eric who comes to the rescue there seems to be a bond between them now but is it enough and can eric give up his manwhore ways to be the man jean needs,romance,2018,kylie scott
the last song,her teenage life turned upsidedown by her parents divorce and her fathers relocation out of state ronnie miller remains bitter three years later when her mother urges her to spend a summer with her father a concert pianist who is quietly immersed in creating a work of art that will become the centerpiece of a local church by the bestselling author of the lucky one movie tiein,romance,2009,nicholas sparks
the klone and i,after thirteen years of marriage and two kids stephanie was devastated when her husband left her for a younger woman suddenly she was alone then a spurofthemoment trip to paris changed everything peter baker was a handsome hightech entrepreneur also visiting the city stephanie was certain it couldnt possibly work but much to her amazement he contacted her when they returned to new york and stephanie embarked on a bizarre and hilarious adventure beyond her wildest dreams shy serious peter chairman of a bionic enterprise was supposed to be away on business instead hes standing at her door wearing satin and rhinestones naturally stephanie thinks its a joke  until the truth suddenly dawns this isnt peter playing a role this is his double calling himself paul klone this wild uninhibited creature isnt even remotely like peter except for his identically sexy good looks this uproarious novel explores the outrageous love triangle that develops between stephanie peterand the klone in a wickedly funny rightontarget look at finding the perfeet mate in an imperfect world bestselling novelist danielle steel reveals insights into the human heart that have made her novels 1 bestsellers around the world,romance,1998,danielle steel
esio trot,mr hoppy loves mrs silver mrs silver loves alfie the tortoise sometimes mr happy wishes he could become a tortoise until one day he finds a way to win mrs silvers heart with the help of a little magic and some cabbage   ,romance,2013,roald dahl
holly,holly believes that she may finally have a chance with the man she has loved for years until she meets an undeniably attractive stranger and spends the weekend with him,romance,2003,jude deveraux
dark guardian,lucian daratrazanoff the dark guardian is drawn to lady cop jaxon montgomery who foolishly made it her lifes work to protect others from harm,romance,2002,christine feehan
a secret affair,written in the same small format as her bestselling love in another town barbara taylor bradfords newest novel tells the story of an illicit fate ful affair when a respected american tv newsman and a young artist meet in venice and fall in love the only hope for sustaining their relationship is via a series of planned rendezvous a secret affair tells their moving story,romance,1996,barbara taylor bradford
now and always,when mysterious events lead katie addison to seek help from sheriff ben okeefe who has a crush on her he wonders if this is the chance he has been waiting for to win her affection,romance,2008,lori copeland
where theres a will,management and organization were julian lords areas of expertise not so for callie marcus with a twohundredpound st bernard who thought he was human and a house in the midst of being demolisheder remodeledcallie was going to need julians expertise as well as his cooperation because even after her death aunt maudie was playing games shed hidden her will and with any luck callie and julian would find itand love,romance,2007,day leclaire
the cottage,in her fiftyfourth bestselling novel danielle steel weaves a compelling story of fame and friendship charmed lives and private strugglesand of three very different men whose lives converge and collide atthe cottage on a sunny day in hollywood a gleaming rollsroyce convertible pulls through the gates of the magnificent estate known asthe cottage modeled after the cottages of newport rhode island the spacious elegant property sitting on fourteen acres of lush bel air fits its owner to a t for the man behind the wheel of the rolls is hollywoods ageless wonder cooper winslow a star of the silver screen for decades a man whose allure to women is the stuff of legend coop exudes grace charm and oldfashioned style but today coop winslow is in for a major surprise hes broke and with no major roles coming his way coop is faced with the heartbreaking prospect of selling his beloved home of forty years or at least renting out the gatehouse and part of the main house a huge blow to coop whose debonair attitude allows him to escape reality much of the time his new tenants mark friedman and jimmy oconnor are busy coping with problems of their own marks wife of sixteen years just walked out and jimmy recently lost his own wife to a devastating illness but everything changes when marks teenage son and daughter move in suddenlythe cottageis transformed with music blasting from every corner teenagers on skateboards crashing into vintage cars and a neverending parade of young starlets streaming in and out to visit coop but amid all the noise and the chaos something unexpected is happening three men who never would have met are becoming friendsand each man finds himself changing in surprising ways coop most of all because beneath the dazzle and flash the impeccably tailored suits and the sheer bravado is a man trying to keep control of his carefully ordered worlda world that is becoming more and more unpredictable with each passing day first a tabloid scandal erupts threatening coops budding romance with a wealthy debutantea stranger approaches coop with stunning newsa devastating accident almost claims the life of one of the housematesand in the midst of it allthe cottagewelcomes a new houseguest with a secret of her own who will change coops life in unexpected ways because among the people who share his cottage and his life coop winslowloner bachelor movie starmay find the rarest of all opportunities a chance to build a happiness he could never have dreamed of on his own and to become the kind of human being he has never been against a glittering backdrop of celebrity and glamour danielle steel digs deeper to tell a story of friendship and love tragedy and second chancesof the choices and unexpected turns of fate that can shape characters and lives from the hardcover edition,romance,2002,danielle steel
to the moon and back,brady bradshaw was a child when the oklahoma city bombing took his mother from him every year brady visits the site on the anniversary to remember her a decade ago he met jenna phillips whose parents were also killed in the attack every year when he returns he leaves a note for jenna ashley baxter blake and her sister kari ryan take a spring break trip with their families that includes a visit to the site to see the memorials famous survivor tree she talks to brady and becomes determined to find jenna and bring them together but is shared heartache enough reason to fall in love  adapted from publisher info,romance,2019,karen kingsbury
dirty,hes an exmusician turned bartender whos a bit rough around the edges shes a brokenhearted bride who ran from a disaster at the altar can this sexy bad boy be the mr right she was looking for all along,romance,2016,kylie scott
the storm sister,ally dapliese is about to compete in one of the worlds most perilous yacht races when she hears the news of her adoptive fathers sudden mysterious death rushing back to meet her five sisters at their family home she discovers that her father  an elusive billionaire affectionately known to his daughters as pa salt  has left each of them a tantalising clue to their true heritage ally has also recently embarked on a deeply passionate love affair that will change her destiny forever but with her life now turned upside down ally decides to leave the open seas and follow the trail that her father left her which leads her to the icy beauty of norway  there ally begins to discover her roots  and how her story is inextricably bound to that of a young unknown singer anna landvik who lived there over a hundred years before and sang in the first performance of griegs iconic music set to ibsens play peer gynt as ally learns more about anna she also begins to question who her father pa salt really was and why is the seventh sister missing,romance,2015,lucinda riley
mansfield park,a new york times bestselling author  in jane austens third published novel after sense and sensibility and pride and prejudice young fanny price is sent to live with her wealthy uncle and aunt sir thomas and lady bertram at mansfield park raised among her four cousins fanny  the poor relation  often goes unobserved in the household making her a unique observer of the ethics morals attitudes and behavior of english society,romance,2010,jane austen
the firebird,from the new york times bestselling author of the winter sea and the vanished days when a woman brings a small wooden carving into the art dealership claiming it once belonged to a russian empress nicola marters boss believes it is worthless but nicola has an unwanted if rare psychic gift holding the firebird in her hands she knows this woman is telling the truth compelled to uncover its true history nicola must put her own past behind her she contacts an old flame who can access the past in a way no one else can together they can find the real story of the firebird following history from scotland to belgium and to st petersburg the firebird is a sweeping story of love sacrifice courage and redemption a journey that spans centuries and lifetimes to connect the past with the future praise for susanna kearsley sometimes an author catches lightning in a bottle and susanna kearsley has done just that new york journal of books a deeply engaging romance and a compelling historical novel bernard cornwell author of the last kingdom kearsley is nothing less than a magician weaving together the past and the present in yet another marvellous genrebending romantic mysterious and utterly unputdownable novel m j rose author of seduction will stay with you long after you put it down her deft touch with historical intrigue is matched only by her delivery of a contemporary heroine who is as unique as she is memorable deanna raybourn author of the dark enquiry fascinating immersive and twisty  twists not only of plot but of character and time diana gabaldon author of the outlander series,romance,2023,susanna kearsley
magic,magic is the mesmerizing new novel from danielle steel whose many 1 new york times bestselling tales have made her one of americas most beloved writers,romance,2016,danielle steel
the last kiss goodbye,assisting a hysterical woman who claims she was forced to commit murder serial killer expert dr charlotte stone remembering a similar claim by a mental patient reluctantly taps her psychic powers to uncover the work of a sadistic serial killer while struggling with torn feelings between her murderous ghost lover and special agent tony bartoli,romance,2013,karen robards
virgin river,recently widowed melinda monroe may have come to virgin river looking for escape from her heartache but instead she finds her home,romance,2019,robyn carr
the darkest lie,gideon the keeper of the demon of lies knows instantly whenever anyone speaks false and suffers whenever he speaks the truth yet when he captures scarlet a demonpossessed immortal who claims to be his wife gideon knows she tells the truth yet cant remember weddingor beddingher,romance,2010,gena showalter
willow brook road,spirited spontaneous carrie winters has grown up under the watchful eyes of not only her grandfather mick obrien but the entire town of chesapeake shores as if that werent enough pressure carrie finds herself drawn to sexy griefstricken sam winslow who is yearning for someone to help him raise the nephew whos unexpectedly come into his life after a tragedy,romance,2015,sherryl woods
bride of the tiger,bride of the tiger by heather graham pozzessere released on feb 23 1996 is available now for purchase,romance,1996,heather graham pozzessere
the play,a brandnew standalone novel in the new york times bestselling briar u series by elle kennedy,romance,2019,elle kennedy
the rana look,a new york times bestseller rana ramsey had a look a style that went beyond beauty that had made her a modeling legend but when she began to feel like an object always sought after but not for herself she ran to a rickety boarding house in a small texas town where nobody knew her and she could be somebody else then quarterback trent gamblin chose to recuperate just down the hall and rana learned she couldnt hide from the world forever available in basic 5 and 6,romance,2002,sandra brown
swipe right,god wants you to have amazing sex there is nothing more powerful on earth than the forces of love sex and romance in fact relationships are a matter of lifeanddeath importance so how you can train today for the relationship you want tomorrow in swipe right levi lusko shares with raw honesty from his own life experiences and gods word how to regretproof your marriage bed and your deathbed resist settling for instant pleasure by discovering what your heart really longs for learn how to avoid and treat sexual scars by careful living today turn the clumsy sex talk with your child into dialogue that leads to wise choices transform a stagnant marriage by trading predictable nearness for mindblowing intimacy gods dreams for your life are not intended to kill your joy but to enhance it whether youre fed up with dating and hooking up as usual tired of being single numb because of porn and casual sex or curious about how to improve your marriage this book is for you praise for swipe right its my hope that whoever reads this will have their thoughts of the heart as seriously provoked as mine have been ryan good producer writer and entrepreneur its a perspective i believe we need now more than ever steven furtick pastor elevation church and new york times bestselling author one day someday there will be a day where you will need the downtoearth wisdom in this book like you will oxygen joel houston songwriter hillsong united and pastor hillsong nyc swipe right isnt just another book of hownottos but an honest gritty and realtime approach to navigating dating sex and romance with our souls and sanity intact judah smith lead pastor the city church and new york times bestselling author of jesus is _____ swipe right is a timely wonderful prophetic and needed message for our generation christine caine founder of the a21 campaign and bestselling author of unashamed if you are wondering what gods plans are for your love life or leading those in search of his plan for theirs you need this book louie giglio pastor of passion city church founder of passion conferences and author of the comeback this is a good book study it ponder it and if you know a fifteenyearold tell them to read it max lucado new york times bestselling author we need the swipe right message now more than ever before lysa terkeurst new york times bestselling author and president of proverbs 31 ministries this is more than just a book its a life jacket  chris tomlin grammy awardwinning musician and author of good good father levi shows that god will light our way if we allow him to carl lentz pastor hillsong nyc funny and engaging while simultaneously practical and hardhitting craig groeschel pastor of lifechurch and author of from this day forward,romance,2017,levi lusko
dating game,when her husband of twentyfour years unexpectedly divorces her a devastated paris armstrong struggles to overcome a broken heart and the disappointment of single life,romance,2003,danielle steel
caged in winter,in this emotional and sexy new adult debut from brighton walsh the only thing more frightening than commitment is hope aspiring chef cade maxwell is immediately viscerally attracted to winter jacobson but its not her mouthwatering curves hes drawn toits the strange emptiness in her eyes when cade saves her from a drunken customer with grabby hands hes shocked at her response winter doesnt need cades help after a lifetime of getting by on her own shes happy to rely on herself shes exactly seventysix days away from graduating college and if she can hold it together that long shell finally be able to rise above the crappy hand she was dealt but now every time she turns around cade is there ready to push her smile at her distract her from her plans winter knows she cant afford to open upespecially to a man shes terrified to actually want,romance,2014,brighton walsh
chasing perfect,when she settles down in fools gold california city planner charity jones who has a past rife with romantic disasters is tempted to take a chance on the towns most famous resident former worldclass cyclist josh golden,romance,2010,susan mallery
texas lucky,following a suspicious fire at his familys ranch ladies man lucky tyler framed by old enemies must find devon haines the beautiful redhead he had rescued at a seedy bar and his only alibi in proving his innocence romance,romance,2008,sandra brown
sons and lovers,a provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women it is also the story of paul morels growing into manhood torn by both inner and outer conflict,romance,1977,david herbert lawrence
tara road,thanks to a chance phone call ria from dublin and marilyn from new england switch houses for the summer with extraordinary results when they are drawn into lifestyles vastly different than their own,romance,1999,maeve binchy
gabriels angel,pregnant alone and on the run to protect her unborn child laura malone finds herself stranded on a snowy colorado road and at the mercy of gabriel bradley,romance,1989,nora roberts
unfinished business,its been twelve years but very little in hyattown maryland has changed vanessa sexton has finally come home to the small town after having her heart shattered all those years ago by her high school sweetheart brady tucker but the once reckless boy has become a solid dependable man can she ever trust him again,romance,2019,nora roberts
the risk,book two in the briar u series by new york times bestselling author elle kennedy,romance,2019,elle kennedy
the little paris bookshop,translated from the german by simon pare this is an internationally bestselling novel about the distance one man will travel for the sake of love and friendship with appeal to fans of the elegance of the hedgehog and the unlikely pilgrimmage of harold fry the international bestseller translated from the german by simon pare on a beautifully restored barge on the seine jean perdu runs a bookshop or rather a literary apothecary for this bookseller possesses a rare gift for sensing which books will soothe the troubled souls of his customers the only person he is unable to cure it seems is himself he has nursed a broken heart ever since the night twentyone years ago when the love of his life fled paris leaving behind a handwritten letter that he has never dared read his memories and his love have been gathering dust  until now the arrival of an enigmatic new neighbour in his eccentric apartment building on rue montagnard inspires jean to unlock his heart unmoor the floating bookshop and set off for provence in search of the past and his beloved,romance,2015,nina george
anne,while investigating a mysterious death at the resort where she works anne succeeds also in catching the attention of mark an attorney but her emotions are torn between her interest in mark and the fact he is not a christian,romance,1984,muriel canfield
a kiss of fate,from the majestic mansions of 18thcentury london to the mistshrouded wilds of the scottish highlands bestselling author mary jo putney brings readers her most breathtaking romantic adventure yet,romance,2004,mary jo putney
pretty reckless,they say revenge is a dish best served cold penn scully has had four years to stew on what daria followhill did to him and now his heart is completely iced over he took her first kiss and she took away the only person he ever loved he asked her to save the rest of her firsts for him and she walked all over his heart in stiletto heels and left it bleeding out on a bright summer day now everything has changed when circumstances leave penn homeless in his senior year the followhills take him in as their latest shiny project that means for the time being hes darias housemate living right across the hall and once he sees her again hes determined to make this spoiled princess pay for ruining the only good thing in his life but daria is used to being misunderstood being slammed for every snarky comment cynical eye roll and foot she puts in the way of the people who hurt her being the girl everyone wants to see cry and keeping her tears hidden penn wanted her firsts but she wants to be his last everything the problem is once they see past each others cutting barbs and wounded hearts the truths they uncover might just start something new altogether,romance,2023,l j shen
home front,from a distance michael and jolene zarkades seem to have it all a solid dependable marriage exciting careers and children they adore but after 12 blissful years together the couple has lost their way they are unhappy and edging towards divorce then an unexpected deployment tears their already fragile family apart,romance,2014,kristin hannah
maid for love,with more than 15 million copies of the new york times bestselling mccarthys of gansett island series sold since maid for love debuted in april 2011 this series has quickly become a fan favorite the mccarthys of gansett island book 1 maddie chester is determined to leave her hometown of gansett island a place that has brought her only bad memories and ugly rumors then shes knocked off her bike on the way to her housekeeping job at mccarthys resort hotel by gansetts favorite son mac mccarthy hes back in town to help his father with preparations to sell the family resort and has no intention of staying long when mac accidentally sends maddie flying over the handlebars badly injuring her he moves in to nurse her back to health and help care for her young son he soon realizes his plans for a hitandrun visit to the island are in serious jeopardy and he just may be maid for love the mccarthys of gansett island series book 1 maid for love book 2 fool for love book 3 ready for love book 4 falling for love book 5 hoping for love book 6 season for love book 7 longing for love book 8 waiting for love book 9 time for love book 10 meant for love book 105 chance for love a gansett island novella book 11 gansett after dark book 12 kisses after dark book 13 love after dark,romance,2016,marie force
the chase,everyone says opposites attract and they must be right because theres no logical reason why im so drawn to colin fitzgerald i dont usually go for tattoocovered videogaming hockeyplaying nerdjocks who think im flighty and superficial his narrow view of me is the first strike against him it doesnt help that hes buddybuddy with my brother and that his best friend has a crush on me and that i just moved in with them oh did i not mention were roommates i suppose it doesnt matter fitzy has made it clear hes not interested in me even though the sparks between us are liable to burn our house down im not the kind of girl who chases after a man though and im not about to start ive got my hands full dealing with a new school a sleazy professor and an uncertain future so if my sexy brooding roomie wises up and realizes what hes missing he knows where to find me,romance,2018,elle kennedy
the bartered bride,from the exotic temptations of the orient to the ruthless grandeur of 19thcentury london bestselling author putney embarks on a romantic journey that begins with a daring act of courage,romance,2002,mary jo putney
betrayed birthright,your usual abandoned kid grows up gets rich finds his mother story but this young man is half lakota indian and finds his mother living on her native lands with a young lakota girl that shed help raise after her sons uncle kidnapped him and his sister there are a few unexpected details in this book  the use of the lakota language and details about the indian tribes,romance,2005,sheri whitefeather
wife 101,final exam  question 1 is an independent woman destined to remain single forever or can a wife training course turn a mess into a mrs,romance,2011,andrea j wilson
lady of fortune,young mariechristine destelle was stripped of title family and fortune by the french revolution but after her escape to england she faced even greater danger at the hands of lord radcliffe whose lustfilled demand that she be his bride filled her with loathing there was only one way out for christa fleeing to regency london little did she expect that her disguise as a servant in the household of lord kingsley would put a heartbreaking gap between her and the irresistible viscount,romance,2006,mary jo putney
all your perfects,can a love story with a perfect beginning survive a lifetime between two imperfect people from the bestselling author of it ends with us then the last thing quinn expected was to meet the love of her life just outside her fiancés front door a year after leaving behind their cheating partners quinn and graham are in a perfect relationship that seems designed by fate now seven years later their perfect love is threatened by their imperfect marriage the memories mistakes and dreams that they have built up over the years are tearing them apart the one thing that could save them might also be the very thing that pushes their marriage past the point of no return written with the same emotional depth and keen insight that made colleen hoovers it ends with us and ugly love instant new york times bestsellers all your perfects is a powerfully moving story about a broken couple whose future hinges on promises made in the past reminding us that the enduring power of love is the ultimate saviour praise for all your perfects colleen hoover returns with an emotionally raw pageturner us weekly colleen hoover crafts the unraveling of a marriage with brutal unflinching honesty the genius is in how she stitches together the perfect ending this is one beautiful story tracey garvis graves author of the girl he used to know a poignant love story  with hoovers evocative style readers will experience the emotion of this story while sympathising with both quinn and graham booklist,romance,2022,colleen hoover
yours until dawn,blinded in battle an injury that costs him his beloved fiancée war hero gabriel fairchild lives as a recluse until the arrival of nurse samantha wickersham who sets out to heal not only his body but also his heart and mind,romance,2004,teresa medeiros
the dogs and the wolves,a wonderful panoramic novel and an achingly poignant love story from the bestselling author of suite française,romance,2010,irène némirovsky
morning is a long time coming,reprint orginally published new york dial press c1978,romance,1993,bette greene
the playboy and the nanny,the playboy and the nanny by anne mcallister released on nov 24 1998 is available now for purchase,romance,1998,anne mcallister
29 dates,seventeenyearold jisus parents send her from south korea to san francisco for a fresh academic start and to continue going on arranged dates with men of her social class  provided by publisher,romance,2018,melissa de la cruz
eden close,andrew an advertising executive in his mid30s returns to his hometown in upstate new york for his mothers funeral he does not intend to stay in the slow rural backwater he left seventeen years before but the dreams and memories persist and in the darkened farmhouse he relives that hot bloody night when eden close was blinded  by the same gun that killed her father the enigmatic eden had been andrews childhood companion together the two roamed summer cornfields smoked their first forbidden cigarettes skated fished and fought until the tomboy turned temptress  then their friendship ended now despite warnings andrew is drawn again to this lost blind girl of his youth drawn to save her from the cruel neglect she has endured for seventeen sightless years without him but first he must discover the grisly truth about that night   ,romance,1994,anita shreve
the prince of broadway,in the second novel in joanna shupes the uptown girl series a ruthless casino owner bent on revenge finds his plans upended by a beautiful women who proves to be more determined than he isand too irresistible to deny powerful casino owner ruthless mastermind destroyer of men he lives in the shadows    as the owner of the citys most exclusive casino clayton madden holds the fortunes of prominent families in the palms of his hands every night there is one particular family he burns to ruin however one that has escaped his grasp    until now she is societys darling    florence greene is no ones fool she knows clayton madden is using her to ruin her prestigious family    and shes using him right back she plans to learn all she can from the mysterious casino ownerthen open a casino of her own just for women with revenge on his mind clay agrees to mentor florence however she soon proves more adeptand more alluringthan clay bargained for when his plans are threatened clay must decide if he is willing to gamble his empire on love,romance,2019,joanna shupe
our chemical hearts,love is never quite what you expect henry page fancies himself quite a romantic but he has yet to find the slomo heart palpitating cant eatcant sleep kind of love that hes been hoping for but then grace town walks into his class and he knows everythings about to change grace isnt who henry pictured as his dream girl  she walks with a cane wears oversized boys clothes and rarely seems to shower but when grace and henry are chosen to coedit the school paper he quickly finds himself falling for her its obvious theres something broken about grace but henry wants nothing more than to help her put the pieces back together again equal parts wit and heartbreak this is a potent powerful portrait of the bittersweet bliss that is first loveback cover,romance,2022,krystal sutherland
angel,all were orphans when they met in their teens in the late seventies and they vowed to be a family as they reunite at a film party in london it is rosalind madigan the angel of the title who holds them together an academy awardwinning designer blessed with innate goodness rosie is troubled by commitments that leave her feeling estranged from herself and her friends gavin ambrose a hollywood megastar a brilliant actorproducer whose personal life is not as successful as it appears nell jeffrey head of an international public relations firm and rosies best friend a glamorous woman having a secret love affair and kevin madigan rosies brother an undercover cop in the nypd crime intelligence division who specializes in fighting organized crime an assignment that threatens his life into their midst come a dashing french aristocrat and the worlds most successful popular singer two men who disruptand irrevocably transformthe family angel told with the power that only barbara taylor bradford can bring to the page this stunning novel is about a group of friendsand also about individuals who facing their own mortality must reevaluate their lives and strengthen their commitments exciting and moving it will fascinate you from beginning to end from the paperback edition,romance,1993,barbara taylor bradford
anne of avonlea,in this sequel to anne of green gables teenage anne shirley becomes a schoolteacher in a small village on prince edward island,romance,1984,montgomery ian lucy maud montgomery
pearl in the mist,living in the dumas family mansion ruby is enjoying the love of a father she has never known when her father dies she is left to contend with the cruelty of her stepmother and stepsister and has to find every piece of strength to reclaim her home,romance,1995,virginia andrews
demon rumm,it was the publicity stunt from hell as far as kirsten rumm was concerned she may have been writing the book about her late husband aeronautical daredevil demon rumm but she didnt see the need to play host to the arrogant badboy actor starring in the film versions title role still for the good of the project kirsten agreed to share her beachfront home with the impossibly sexy screen idol any other woman would do anything to be in her sandals but kirsten wasnt falling for rylan north even if he did play his role of male lead to perfection his downhome charm his gentleness and virile charisma might be seducing her in every sense of the word but he was an actor after all seducing an audience was his job rylan could have any woman he wanted so why was he so desperately pretending to want her from the moment he saw her rylan north knew that kirsten rumm was the woman hed been waiting all his life to cast as the star in his reallife love story what did it matter if he was every womans fantasy if he couldnt get kirsten to so much as glance his way hed caught the look of past hurt behind her skyblue eyesa dark secret that shadowed the sparkle rylan was determined to find out what tragedy held this passionate woman back from a second chance at love even if it cost him his reputation his career and his life but first hed have to get kirsten to act on her instincts    and to trust the fleshandblood man behind the fantasy,romance,2005,sandra brown
five days in paris,follows the fiveday affair between a man and a woman in paris a relationship that decides the course of the rest of their lives reprint,romance,1997,danielle steel
devoted in death,when lieutenant eve dallas examines a body in a downtown manhattan alleyway the victims injuries are so extensive that she almost misses the clue carved into the skin is the shape of a heartand initials inside reading e and d  ellaloo and her boyfriend darryl had been separated while darryl was a guest of the state of oklahoma and now that his sentence has been served they dont ever intend to part again ellaloos got dreams and darryl believes there are better ways to achieve your dreams than working for them so they hit the road and when their car breaks down in arkansas they make plans to take someone elses then things get messy and they wind up killing someonean experience that stokes a fierce wild desire in ellaloo a desire for darryl and a desire to kill again as they cross state lines on their way to new york to find the life they think they deserve they will leave a trail of evil behind them but now theyve landed in the jurisdiction of lieutenant dallas and her team at the new york police and security department and with her husband roarke at her side she has every intention of hunting them down and giving them what they truly deserve,romance,2016,j d robb
dream baby,by the year 2000 baby what have you resolved to do by the year 2000 millennium baby when a friend pregnant and desperate suggests that nora holloway adopt the baby it looks as if noras dream of celebrating the millennium with a family of her own may come true then the babys uncle shows up with a plan that doesnt include nora jake burdettes guilt over his brothers death wont allow him to break his promise to look after the child he wont allow a stranger to adopt his nephew but the more he learns about nora the less of a stranger she becomes,romance,1999,ann evans
danger in the shadows,sara is terrified hidden away in the witness protection program shes falling in love with former pro football player adam black which is something that could get her killed fbi agent dave richman has his hands full keeping her safe from her sisters killer when events bring sara facetoface with terror will she rely on god for protection,romance,2002,dee henderson
jade star,kidnapped by lecherous white slaver juliana dupres the lovely daughter of a hawaiian missionary finds herself the coveted prize of a san francisco slave auction until she is rescued from degradation by a handsome mysterious doctor reissue,romance,2002,catherine coulter
the girls of mischief bay,through romance and heartbreak laughter and tears the girls of mischief bay will discover that life is richer with friends at your side nicole lord wants to be a good wife but theres a difference between being supportive and supporting her husband who quit his job to write a screenplay shes never seen he wont even help take care of their son leaving nicole to run the house and work fulltime sacrificing a personal life for her career is how shannon rigg became a vp at her firm but she wonders now whether she made the right choice an exciting new relationship with a great guy convinces her that it might not be too lateuntil he drops a bombshell that has her questioning whether she really can have it all although pam eiland adores her husband she feels restless now that the kids are grown finding sexy new ways to surprise him brings the heat and humor back to their marriage but when unexpected change turns her life upside down shell have to redefine herself again through romance and heartbreak laughter and tears the girls of mischief bay will discover that life is richer with friends at your side,romance,2016,susan mallery
marry me by sundown,published in 2018 by arrangement with galley books an imprint of simon  schuster inccopyright page,romance,2018,johanna lindsey
all the feels,following spoiler alert olivia dade returns with another utterly charming romantic comedy about a devilmaycare actorwho actually cares more than anyone knowsand the nononsense woman hired to keep him in line an absolutely witty swoon worthy behind the scenes romp delightful from beginning to endjulie murphy 1 new york times bestselling author of dumplin alexander woodroe has it all charm sex appeal wealth fame a starring role as cupid on tvs biggest show gods of the gates but the showrunners have wrecked his character hes dogged by old demons and his postshow future remains uncertain when all that reckless emotion explodes into a bar fight the tabloids and public agree his star is falling enter lauren clegg the former er therapist hired to keep him in line compared to her previous work watching over handsome but impulsive alex shouldnt be especially difficult but the more time they spend together the harder it gets to keep her professional remove and her heart intact especially when she discovers the reasons behind his recklessnessnot to mention his cupid fanfiction habit when another scandal lands alex in major hot water and costs lauren her job shell have to choose between protecting him and offering him what he really wantsher but hes determined to keep his improbably short impossibly stubborn and extremely endearing minder in his life any way he can and on a road trip up the california coast together he intends to show her exactly what a falling star will do to catch the woman he loves anything at all,romance,2021,olivia dade
tea for two,zack cooper tries his best to raise his children but hes losing his grip on them in their teen years theyve both had scrapes with the local law tea shop owner milly jewel has the perfect woman in mind to help zack counselor tina milano meets weekly at the tea shop with her womens group milly encourages zack and tina to work together to draw the teens back before they get into even hotter water tinas connections with the middleburg police department prove a mixed blessing for zack and his kids both her best friend and her old boyfriend are officers on the force when tinas womens group gets wind of her personal pursuits and clashes they want to help and as the groups meetings at the tea shop take on a slightly different flavor tina begins to wonder who exactly is counseling whom,romance,2011,trish perry
the mistake,the second book in the offcampus series from new york times bestselling author elle kennedy,romance,2015,elle kennedy
shoulda woulda coulda,romantic drama of family life,romance,2005,la jill hunt
viscount breckenridge to the rescue,attending a racy soiree in hopes of finding her dream man miss heather cynster finds her plan of landing a husband going dangerously awry after she is abducted and the interfering viscount breckenridge comes to her rescue,romance,2011,stephanie laurens
devoted in death hb,eve dallas tracks a young couple whose heated passion for each other is fueled by cold brutality,romance,2015,j d robb
